ID	site	nation	POINT_X	POINT_Y	type	name	asset_no	caption	date_est	image
1389	TALLCREE 173A	Tallcree First Nation	-115.6119258	58.07784554	Building	Testing data: TALLCREE 173A:Building1389	397301-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1390	CHIPEWYAN 201F	Athabasca Chipewyan First Nation	-111.3329572	58.02791575	Building	Testing data: CHIPEWYAN 201F:Building1390	426822-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1391	CHIPEWYAN 201F	Athabasca Chipewyan First Nation	-111.3324263	58.02939343	Building	Testing data: CHIPEWYAN 201F:Building1391	665248-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1392	CHIPEWYAN 201F	Athabasca Chipewyan First Nation	-111.3334922	58.03083473	Building	Testing data: CHIPEWYAN 201F:Building1392	457927-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1393	CHIPEWYAN 201F	Athabasca Chipewyan First Nation	-111.3342299	58.0310815	Building	Testing data: CHIPEWYAN 201F:Building1393	482529-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1394	CHIPEWYAN 201F	Athabasca Chipewyan First Nation	-111.3331709	58.03159314	Building	Testing data: CHIPEWYAN 201F:Building1394	264379-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1395	CHIPEWYAN 201F	Athabasca Chipewyan First Nation	-111.3330578	58.03421512	Building	Testing data: CHIPEWYAN 201F:Building1395	342300-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1396	TALLCREE 173A	Tallcree First Nation	-115.6032192	58.08564155	Building	Testing data: TALLCREE 173A:Building1396	700395-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1397	TALLCREE 173A	Tallcree First Nation	-115.6573684	58.08896315	Building	Testing data: TALLCREE 173A:Building1397	421157-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1398	TALLCREE 173A	Tallcree First Nation	-115.6028796	58.09085258	Building	Testing data: TALLCREE 173A:Building1398	597144-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1399	TALLCREE 173A	Tallcree First Nation	-115.6084508	58.09169434	Building	Testing data: TALLCREE 173A:Building1399	434536-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1400	TALLCREE 173A	Tallcree First Nation	-115.5947644	58.09297945	Building	Testing data: TALLCREE 173A:Building1400	471135-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1401	TALLCREE 173A	Tallcree First Nation	-115.6300059	58.0928307	Building	Testing data: TALLCREE 173A:Building1401	109144-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1402	TALLCREE 173A	Tallcree First Nation	-115.5776498	58.09361053	Building	Testing data: TALLCREE 173A:Building1402	415291-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1403	TALLCREE 173A	Tallcree First Nation	-115.6488724	58.09371364	Building	Testing data: TALLCREE 173A:Building1403	172150-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1404	TALLCREE 173A	Tallcree First Nation	-115.6160788	58.09683082	Building	Testing data: TALLCREE 173A:Building1404	326604-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1405	TALLCREE 173A	Tallcree First Nation	-115.6428279	58.09717401	Building	Testing data: TALLCREE 173A:Building1405	389742-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1406	TALLCREE 173A	Tallcree First Nation	-115.644236	58.09773324	Building	Testing data: TALLCREE 173A:Building1406	153866-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1407	TALLCREE 173A	Tallcree First Nation	-115.6023543	58.09827686	Building	Testing data: TALLCREE 173A:Building1407	598923-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1408	TALLCREE 173A	Tallcree First Nation	-115.635166	58.10139111	Building	Testing data: TALLCREE 173A:Building1408	816898-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1409	TALLCREE 173A	Tallcree First Nation	-115.6358689	58.10190421	Building	Testing data: TALLCREE 173A:Building1409	605061-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1410	TALLCREE 173A	Tallcree First Nation	-115.6466491	58.10479763	Building	Testing data: TALLCREE 173A:Building1410	549591-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1411	TALLCREE 173A	Tallcree First Nation	-115.6633219	58.10595652	Building	Testing data: TALLCREE 173A:Building1411	743554-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1412	FORT VERMILION 173B	Tallcree First Nation	-115.9937765	58.37909735	Building	Testing data: FORT VERMILION 173B:Building1412	339170-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1413	FORT VERMILION 173B	Tallcree First Nation	-115.9990704	58.38067822	Building	Testing data: FORT VERMILION 173B:Building1413	411076-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1414	FORT VERMILION 173B	Tallcree First Nation	-115.9969315	58.38121682	Building	Testing data: FORT VERMILION 173B:Building1414	878919-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1415	FORT VERMILION 173B	Tallcree First Nation	-115.9992248	58.38233396	Building	Testing data: FORT VERMILION 173B:Building1415	493361-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1416	FORT VERMILION 173B	Tallcree First Nation	-116.0027319	58.38318272	Building	Testing data: FORT VERMILION 173B:Building1416	164747-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1417	FORT VERMILION 173B	Tallcree First Nation	-116.00063	58.38371898	Building	Testing data: FORT VERMILION 173B:Building1417	295893-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1418	FORT VERMILION 173B	Tallcree First Nation	-116.0017027	58.38454133	Building	Testing data: FORT VERMILION 173B:Building1418	737617-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1419	FORT VERMILION 173B	Tallcree First Nation	-116.00022	58.38484654	Building	Testing data: FORT VERMILION 173B:Building1419	247603-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1420	FORT VERMILION 173B	Tallcree First Nation	-115.9974249	58.3851704	Building	Testing data: FORT VERMILION 173B:Building1420	767279-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1421	FOX LAKE 162	Little Red River Cree Nation	-114.6044111	58.40037539	Building	Testing data: FOX LAKE 162:Building1421	845474-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1422	FOX LAKE 162	Little Red River Cree Nation	-114.5283607	58.40343684	Building	Testing data: FOX LAKE 162:Building1422	340336-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1423	FOX LAKE 162	Little Red River Cree Nation	-114.4676873	58.40885824	Building	Testing data: FOX LAKE 162:Building1423	765250-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1424	CHIPEWYAN 201E	Athabasca Chipewyan First Nation	-110.9925036	58.35662169	Building	Testing data: CHIPEWYAN 201E:Building1424	476594-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1425	CHIPEWYAN 201E	Athabasca Chipewyan First Nation	-111.0244037	58.3583433	Building	Testing data: CHIPEWYAN 201E:Building1425	700811-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1426	BEAVER RANCH 163	Tallcree First Nation	-115.757125	58.42347856	Building	Testing data: BEAVER RANCH 163:Building1426	601528-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1427	FOX LAKE 162	Little Red River Cree Nation	-114.5083665	58.42822431	Building	Testing data: FOX LAKE 162:Building1427	241108-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1428	BEAVER RANCH 163	Tallcree First Nation	-115.7460612	58.42774618	Building	Testing data: BEAVER RANCH 163:Building1428	406531-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1429	CHIPEWYAN 201E	Athabasca Chipewyan First Nation	-110.9897717	58.36776314	Building	Testing data: CHIPEWYAN 201E:Building1429	530620-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1430	CHIPEWYAN 201E	Athabasca Chipewyan First Nation	-110.9097837	58.36733381	Building	Testing data: CHIPEWYAN 201E:Building1430	530011-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1431	OLD FORT 217	Mikisew Cree First Nation	-111.4999747	58.38515222	Building	Testing data: OLD FORT 217:Building1431	155212-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1432	BOYER RIVER 164	Beaver First Nation	-116.2754799	58.42767803	Building	Testing data: BOYER RIVER 164:Building1432	302593-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1433	BEAVER RANCH 163	Tallcree First Nation	-115.7498359	58.43227519	Building	Testing data: BEAVER RANCH 163:Building1433	399723-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1434	OLD FORT 217	Mikisew Cree First Nation	-111.492536	58.38754019	Building	Testing data: OLD FORT 217:Building1434	184962-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1435	BEAVER RANCH 163	Tallcree First Nation	-115.7440093	58.4343183	Building	Testing data: BEAVER RANCH 163:Building1435	241577-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1436	BOYER RIVER 164	Beaver First Nation	-116.3154754	58.43058979	Building	Testing data: BOYER RIVER 164:Building1436	118850-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1437	CHILD LAKE 164A	Beaver First Nation	-116.5720714	58.42810038	Building	Testing data: CHILD LAKE 164A:Building1437	318086-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1438	BEAVER RANCH 163	Tallcree First Nation	-115.7443503	58.43648086	Building	Testing data: BEAVER RANCH 163:Building1438	190912-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1439	OLD FORT 217	Mikisew Cree First Nation	-111.5021595	58.3929442	Building	Testing data: OLD FORT 217:Building1439	367442-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1440	BOYER RIVER 164	Beaver First Nation	-116.2353692	58.4350403	Building	Testing data: BOYER RIVER 164:Building1440	666805-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1441	CHIPEWYAN 201E	Athabasca Chipewyan First Nation	-110.9017339	58.37551987	Building	Testing data: CHIPEWYAN 201E:Building1441	624180-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1442	OLD FORT 217	Mikisew Cree First Nation	-111.4891332	58.39436865	Building	Testing data: OLD FORT 217:Building1442	701691-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1443	BOYER RIVER 164	Beaver First Nation	-116.3370113	58.4359464	Building	Testing data: BOYER RIVER 164:Building1443	171301-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1444	OLD FORT 217	Mikisew Cree First Nation	-111.5050365	58.39655723	Building	Testing data: OLD FORT 217:Building1444	220415-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1445	BEAVER RANCH 163	Tallcree First Nation	-115.7387811	58.44294249	Building	Testing data: BEAVER RANCH 163:Building1445	303479-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1446	BEAVER RANCH 163	Tallcree First Nation	-115.7358088	58.4432709	Building	Testing data: BEAVER RANCH 163:Building1446	260762-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1447	CHIPEWYAN 201E	Athabasca Chipewyan First Nation	-110.9745878	58.38316685	Building	Testing data: CHIPEWYAN 201E:Building1447	348931-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1448	BOYER RIVER 164	Beaver First Nation	-116.2271808	58.44154601	Building	Testing data: BOYER RIVER 164:Building1448	528653-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1449	OLD FORT 217	Mikisew Cree First Nation	-111.5102063	58.40082201	Building	Testing data: OLD FORT 217:Building1449	487681-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1450	OLD FORT 217	Mikisew Cree First Nation	-111.5038993	58.40249778	Building	Testing data: OLD FORT 217:Building1450	685772-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1451	CHILD LAKE 164A	Beaver First Nation	-116.5925046	58.4407893	Building	Testing data: CHILD LAKE 164A:Building1451	239377-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1452	BUSHE RIVER 207	Dene Tha' First Nation	-117.0157399	58.43544565	Building	Testing data: BUSHE RIVER 207:Building1452	741953-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1453	CHILD LAKE 164A	Beaver First Nation	-116.5820665	58.44200451	Building	Testing data: CHILD LAKE 164A:Building1453	119872-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1454	CHIPEWYAN 201E	Athabasca Chipewyan First Nation	-110.9503704	58.3893768	Building	Testing data: CHIPEWYAN 201E:Building1454	641027-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1455	BEAVER RANCH 163	Tallcree First Nation	-115.7475178	58.45161074	Building	Testing data: BEAVER RANCH 163:Building1455	586473-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1456	CHILD LAKE 164A	Beaver First Nation	-116.5781594	58.44424683	Building	Testing data: CHILD LAKE 164A:Building1456	321870-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1457	BOYER RIVER 164	Beaver First Nation	-116.3120209	58.44822346	Building	Testing data: BOYER RIVER 164:Building1457	820424-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1458	BEAVER RANCH 163	Tallcree First Nation	-115.7488898	58.45299216	Building	Testing data: BEAVER RANCH 163:Building1458	747867-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1459	BOYER RIVER 164	Beaver First Nation	-116.299908	58.44918424	Building	Testing data: BOYER RIVER 164:Building1459	694771-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1460	BOYER RIVER 164	Beaver First Nation	-116.2331957	58.4506158	Building	Testing data: BOYER RIVER 164:Building1460	832366-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1461	BEAVER RANCH 163	Tallcree First Nation	-115.7531048	58.45470421	Building	Testing data: BEAVER RANCH 163:Building1461	225084-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1462	BOYER RIVER 164	Beaver First Nation	-116.2701341	58.45140335	Building	Testing data: BOYER RIVER 164:Building1462	869161-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1463	BEAVER RANCH 163A	Tallcree First Nation	-115.7068616	58.45783708	Building	Testing data: BEAVER RANCH 163A:Building1463	732051-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1464	BEAVER RANCH 163A	Tallcree First Nation	-115.7164509	58.45785737	Building	Testing data: BEAVER RANCH 163A:Building1464	716427-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1465	CHILD LAKE 164A	Beaver First Nation	-116.5550626	58.45175728	Building	Testing data: CHILD LAKE 164A:Building1465	606016-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1466	BUSHE RIVER 207	Dene Tha' First Nation	-116.9672315	58.44725516	Building	Testing data: BUSHE RIVER 207:Building1466	315572-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1467	OLD FORT 217	Mikisew Cree First Nation	-111.4919419	58.4145401	Building	Testing data: OLD FORT 217:Building1467	631791-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1468	BUSHE RIVER 207	Dene Tha' First Nation	-117.0291701	58.4472051	Building	Testing data: BUSHE RIVER 207:Building1468	373110-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1469	BEAVER RANCH 163A	Tallcree First Nation	-115.7237116	58.46246042	Building	Testing data: BEAVER RANCH 163A:Building1469	434364-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1470	BEAVER RANCH 163A	Tallcree First Nation	-115.7295116	58.46276789	Building	Testing data: BEAVER RANCH 163A:Building1470	887198-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1471	BUSHE RIVER 207	Dene Tha' First Nation	-116.9122656	58.45115911	Building	Testing data: BUSHE RIVER 207:Building1471	287419-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1472	FOX LAKE 162	Little Red River Cree Nation	-114.5135354	58.46500408	Building	Testing data: FOX LAKE 162:Building1472	432403-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1473	BUSHE RIVER 207	Dene Tha' First Nation	-116.9500329	58.45138254	Building	Testing data: BUSHE RIVER 207:Building1473	521167-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1474	OLD FORT 217	Mikisew Cree First Nation	-111.4953707	58.41942183	Building	Testing data: OLD FORT 217:Building1474	299588-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1475	BUSHE RIVER 207	Dene Tha' First Nation	-116.8500633	58.4548191	Building	Testing data: BUSHE RIVER 207:Building1475	264045-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1476	BEAVER RANCH 163A	Tallcree First Nation	-115.7234684	58.46732986	Building	Testing data: BEAVER RANCH 163A:Building1476	792769-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1477	BEAVER RANCH 163A	Tallcree First Nation	-115.7204481	58.46824288	Building	Testing data: BEAVER RANCH 163A:Building1477	578295-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1478	BEAVER RANCH 163A	Tallcree First Nation	-115.7150801	58.47034568	Building	Testing data: BEAVER RANCH 163A:Building1478	847249-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1479	CHILD LAKE 164A	Beaver First Nation	-116.5880265	58.46283808	Building	Testing data: CHILD LAKE 164A:Building1479	600208-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1480	BEAVER RANCH 163A	Tallcree First Nation	-115.7191609	58.47092292	Building	Testing data: BEAVER RANCH 163A:Building1480	681720-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1481	BUSHE RIVER 207	Dene Tha' First Nation	-116.949829	58.46090702	Building	Testing data: BUSHE RIVER 207:Building1481	779461-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1482	BOYER RIVER 164	Beaver First Nation	-116.1834292	58.47106262	Building	Testing data: BOYER RIVER 164:Building1482	415195-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1483	CHIPEWYAN 201D	Athabasca Chipewyan First Nation	-110.9170262	58.41294141	Building	Testing data: CHIPEWYAN 201D:Building1483	278958-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1484	CHIPEWYAN 201D	Athabasca Chipewyan First Nation	-110.9166183	58.41332268	Building	Testing data: CHIPEWYAN 201D:Building1484	315626-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1485	CHIPEWYAN 201D	Athabasca Chipewyan First Nation	-110.9175765	58.41359661	Building	Testing data: CHIPEWYAN 201D:Building1485	697220-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1486	CHIPEWYAN 201D	Athabasca Chipewyan First Nation	-110.9192392	58.41371633	Building	Testing data: CHIPEWYAN 201D:Building1486	178322-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1487	CHIPEWYAN 201D	Athabasca Chipewyan First Nation	-110.9173074	58.41391517	Building	Testing data: CHIPEWYAN 201D:Building1487	875240-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1488	CHIPEWYAN 201D	Athabasca Chipewyan First Nation	-110.9167247	58.41419764	Building	Testing data: CHIPEWYAN 201D:Building1488	132441-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1489	CHIPEWYAN 201D	Athabasca Chipewyan First Nation	-110.9167274	58.41427166	Building	Testing data: CHIPEWYAN 201D:Building1489	709478-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1490	CHIPEWYAN 201D	Athabasca Chipewyan First Nation	-110.9189022	58.41481811	Building	Testing data: CHIPEWYAN 201D:Building1490	625195-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1491	CHIPEWYAN 201D	Athabasca Chipewyan First Nation	-110.917205	58.41484506	Building	Testing data: CHIPEWYAN 201D:Building1491	407331-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1492	CHIPEWYAN 201D	Athabasca Chipewyan First Nation	-110.9171431	58.41499342	Building	Testing data: CHIPEWYAN 201D:Building1492	156243-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1493	CHILD LAKE 164A	Beaver First Nation	-116.5958017	58.47157407	Building	Testing data: CHILD LAKE 164A:Building1493	880014-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
1494	BUSHE RIVER 207	Dene Tha' First Nation	-116.8497156	58.46928515	Building	Testing data: BUSHE RIVER 207:Building1494	487531-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
